course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,days_published
648492,Guitar Lessons : Rock Guitar in 1 Day!,https://www.udemy.com/rock-guitar/,TRUE,50,17,4,37,Beginner Level,1.5,6/12/2015,Musical Instruments,1608
222062,Tenor Banjo,https://www.udemy.com/tenor-banjo/,TRUE,40,70,6,18,Intermediate Level,1,17/6/2015,Musical Instruments,1780
103662,Introduction to Lead Guitar,https://www.udemy.com/introduction-to-lead-guitar/,TRUE,20,245,8,34,Intermediate Level,1.5,26/11/2013,Musical Instruments,2348
742764,Piano With Willie: Basics of Improvisation,https://www.udemy.com/piano-with-willie-basics-of-improvisation/,TRUE,40,76,4,23,Beginner Level,3.5,13/4/2016,Musical Instruments,1479
856950,Euphonium Pro Series - Fall in love with the Euphonium,https://www.udemy.com/euphonium-pro-series/,TRUE,50,44,2,40,All Levels,7.5,24/5/2016,Musical Instruments,1438
902480,Pure Rock Guitar : Play Like the Gods of Rock!,https://www.udemy.com/pure-rock-guitar-play-like-the-gods-of-rock/,TRUE,45,80,5,24,All Levels,4.5,29/7/2016,Musical Instruments,1372
263846,Master the French Horn: Intermediate Instruction Made Simple,https://www.udemy.com/intermediatehorn/,TRUE,50,68,8,126,Intermediate Level,7.5,29/10/2014,Musical Instruments,2011
1160066,Classical Guitar Technique: 80/20,https://www.udemy.com/classical-guitar-technique-8020/,TRUE,175,54,0,18,All Levels,2.5,30/3/2017,Musical Instruments,1128
625974,Total beginner to intermediate guitar - Learn to play by ear,https://www.udemy.com/beginner-guitar-learn-to-play-by-ear/,TRUE,45,80,4,112,Beginner Level,3,16/10/2015,Musical Instruments,1659
782460,Aprende escalas y arpegios  Vol. I: Modo mayor,https://www.udemy.com/aprendiendo-piano-escalas-y-arpegios-mayores-vol-i/,TRUE,50,85,2,30,Beginner Level,1.5,31/3/2016,Musical Instruments,1492
147104,Aprende a tocar Guitarra RAPIDO y FACIL con Guitarsimple,https://www.udemy.com/aprende-a-tocar-guitarra-rapido-y-facil-con-guitarsimple/,TRUE,40,57,7,16,Beginner Level,4,22/1/2014,Musical Instruments,2291
1189926,Ukulele lernen für Papas mit Bruder Jakob,https://www.udemy.com/ukulele-lernen-fuer-papas/,TRUE,55,12,1,38,Beginner Level,1,4/5/2017,Musical Instruments,1093
1143414,Tin Whistle Básico,https://www.udemy.com/tin-whistle-basico/,TRUE,20,11,2,53,Beginner Level,1.5,17/5/2017,Musical Instruments,1080
1066002,Leve a sua técnica de pedal duplo para um novo patamar,https://www.udemy.com/leve-a-sua-tecnica-de-pedal-duplo-para-um-novo-patamar/,TRUE,40,42,4,196,Intermediate Level,5.5,16/1/2017,Musical Instruments,1201
767400,Sevillanas con Castañuelas - Baile y toque al mismo tiempo,https://www.udemy.com/sevillanas-con-castanuelas/,TRUE,40,20,4,24,All Levels,1.5,23/2/2016,Musical Instruments,1529
492954,見てわかる！やさしく独習アコギ（入門編）TAKA先生のアコースティックギターレッスンⅠ,https://www.udemy.com/takaacousticguitar/,TRUE,20,41,3,48,Beginner Level,2,6/7/2015,Musical Instruments,1761
1129652,【すぐに覚える！】ASALATO-アサラト(打楽器)初心者向け入門講座,https://www.udemy.com/haqzhind/,TRUE,20,5,1,7,Beginner Level,0.583333333,19/4/2017,Musical Instruments,1108
13216,Aprende a Tocar Teclado - Piano,https://www.udemy.com/solfeo-musical/,TRUE,35,119,8,52,All Levels,3.5,26/1/2012,Musical Instruments,3018
760452,Castañuelas por Sevillanas - Curso del toque de castañuelas,https://www.udemy.com/castanuelas-por-sevillanas/,TRUE,40,22,2,17,All Levels,0.716666667,12/2/2016,Musical Instruments,1540
1152334,Aprende a tocar el acordeón de botones,https://www.udemy.com/aprende-a-tocar-el-acordeon-de-botones-i/,TRUE,50,20,6,24,Beginner Level,2,17/5/2017,Musical Instruments,1080
214770,Aprende a tocar Música Cristiana en el piano y teclado,https://www.udemy.com/aprende-a-tocar-musica-cristiana-en-el-piano-y-teclado/,TRUE,20,17,3,13,All Levels,1,16/5/2014,Musical Instruments,2177
1134842,Easy Guitar Songwriting And Harmony,https://www.udemy.com/easy-guitar-songwriting/,TRUE,20,82,3,62,Beginner Level,3.5,14/3/2017,Musical Instruments,1144
139772,How to play easy tunes on the harmonica - just the basics,https://www.udemy.com/benhewlett-phb2/,TRUE,35,79,3,15,Beginner Level,1.5,25/2/2014,Musical Instruments,2257
171598,Rhythm to Rock Drum Lessons 2,https://www.udemy.com/rhythm-to-rock-drum-lessons-2/,TRUE,20,21,2,11,Beginner Level,1,10/3/2014,Musical Instruments,2244
854692,Instant Harmonica - play Over the Rainbow + Skye Boat now!,https://www.udemy.com/instant-harmonica-play-over-the-rainbow-skye-boat-now/,TRUE,40,29,4,22,All Levels,1.5,18/7/2016,Musical Instruments,1383
805706,Bagpipe Instruction For Beginners,https://www.udemy.com/bagpipe-instruction-for-beginners/,TRUE,30,31,4,5,Beginner Level,1,24/4/2016,Musical Instruments,1468
618586,"Flute Solos: Learn how to Perform Three Fun, Unique Pieces",https://www.udemy.com/flute-solos/,TRUE,50,156,4,62,All Levels,3,22/9/2015,Musical Instruments,1683
205764,Rhythm to Rock Drum Lessons 3,https://www.udemy.com/rhythm-to-rock-drum-lessons-3/,TRUE,20,12,2,12,Beginner Level,1,18/7/2014,Musical Instruments,2114
762648,Guitar Lessons - Sweep Picking Arpeggio Essentials,https://www.udemy.com/guitar-lessons-sweep-picking-arpeggio-essentials/,TRUE,35,74,6,13,Intermediate Level,1.5,15/2/2016,Musical Instruments,1537
245722,Painless Piano!,https://www.udemy.com/painless-piano/,TRUE,40,353,1,30,Beginner Level,3.5,23/6/2014,Musical Instruments,2139
53157,Beginning Flute Lessons,https://www.udemy.com/beginning-flute-lessons/,TRUE,20,137,12,17,Beginner Level,2.5,29/5/2013,Musical Instruments,2529
932842,Piano Lesson Variety,https://www.udemy.com/piano-lesson-variety/,TRUE,40,59,1,28,Intermediate Level,4,18/8/2016,Musical Instruments,1352
883138,Pop and Jazz Keyboards and Harmony (beginner level),https://www.udemy.com/pop-and-jazz-keyboards-and-harmony-beginner-level/,TRUE,180,47,7,13,Beginner Level,3,12/7/2016,Musical Instruments,1389
139788,Starting to play the blues on your harmonica in easy steps ,https://www.udemy.com/benhewlettharmonicatuitionint1/,TRUE,35,71,3,16,Intermediate Level,2,1/3/2014,Musical Instruments,2253
951608,Learn the Viola - Scales and Fundamentals,https://www.udemy.com/learn-the-viola-scales-and-fundamentals/,TRUE,80,21,3,38,Beginner Level,2.5,16/11/2016,Musical Instruments,1262
975626,"Learn to Play 'Let It Snow on Piano""",https://www.udemy.com/learn-to-play-let-it-snow-on-piano/,TRUE,40,36,4,8,Intermediate Level,1,4/10/2016,Musical Instruments,1305
1104492,Instant Harmonica - play the Irish anthem Danny Boy today!,https://www.udemy.com/instant-harmonica-play-the-irish-anthem-danny-boy-today/,TRUE,40,8,1,15,All Levels,1,21/3/2017,Musical Instruments,1137
1196538,Piano Building Blocks: Learn Chord Additions & Variations,https://www.udemy.com/pbbchordvariations/,FALSE,0,375,0,9,Beginner Level,1,2/7/2017,Musical Instruments,1034
184324,Advanced Saxophone Studies - Learn to Master the Saxophone!,https://www.udemy.com/saxophone-etude-adagio-con-espressione/,TRUE,50,215,5,80,Intermediate Level,4,18/3/2014,Musical Instruments,2236
139794,Killer Harmonica sounds using the tongue and bending notes ,https://www.udemy.com/benhewlettharmonicatuitionint3/,TRUE,35,80,2,16,Intermediate Level,2,17/3/2014,Musical Instruments,2237
